X;Y
858;602
832;603
831;614
836;608
835;601
828;596
835;610
878;606
839;599
844;601
828;609
884;610
889;600
790;590
840;602
835;603
840;601
838;605
854;590
839;606
828;602
839;607
844;605
885;615
834;608
835;608
802;599
842;605
837;599
788;609
839;610
874;593
842;604
838;602
822;603
876;587
837;615
842;606
837;620
831;604
839;604
838;611
834;615
838;615
888;601
836;616
844;607
850;610
828;610
840;610
842;607
850;600
837;601
800;587
845;603
773;582
790;577
798;539
753;533
748;526
739;521
734;523
726;525
730;527
730;524
740;521
724;518
680;505
729;515
686;512
723;527
729;519
739;521
722;524
725;526
744;528
724;530
734;530
743;525
729;527
740;537
744;522
732;527
731;527
737;535
740;527
742;532
745;526
735;520
737;527
746;528
736;532
745;530
749;541
748;519
742;521
745;527
683;513
732;531
701;531
746;530
754;533
739;538
693;504
737;543
752;535
699;513
741;521
737;536
731;531
744;543
784;538
742;532
742;531
740;530
738;529
691;525
741;536
780;541
687;512
737;534
740;534
743;534
741;544
745;529
735;526
742;534
739;531
738;531
745;528
699;539
735;535
736;535
694;512
739;538
736;536
740;551
741;544
742;538
777;514
782;548
735;539
736;542
687;530
738;544
736;535
740;540
734;533
745;538
747;535
747;534
690;527
746;551
735;534
732;528
747;553
743;545
740;533
745;536
751;546
741;545
745;533
749;548
740;541
702;536
702;529
746;553
790;555
751;544
756;539
780;557
768;562
674;556
666;574
649;568
655;575
666;571
661;589
665;586
659;592
655;585
618;583
653;584
649;592
666;592
645;583
654;580
646;579
657;581
662;586
654;586
648;586
658;586
650;595
641;583
658;583
643;588
652;596
651;598
652;583
635;553
636;562
640;570
621;615
655;642
659;700
606;763
698;847
660;912
622;969
622;1014
660;1084
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
954;712
949;687
;
;
;
756;530
;
893;619
;
;
;
859;602
875;608
874;621
828;616
873;614
878;610
872;616
832;601
873;618
874;622
875;629
873;626
880;634
931;622
880;624
896;635
878;634
880;627
877;631
886;629
835;621
881;638
874;629
874;628
889;623
883;629
876;621
886;636
887;625
877;626
844;624
849;624
852;617
925;618
925;620
887;628
846;611
878;629
804;580
931;629
925;619
885;626
888;626
852;630
882;637
885;628
884;624
888;632
855;614
885;637
883;626
850;623
883;629
834;620
885;613
843;602
889;629
908;632
887;630
845;624
869;619
886;620
923;626
878;622
873;620
881;617
901;608
877;619
880;617
880;614
880;615
943;617
884;610
878;625
889;615
828;601
838;613
878;616
918;613
886;614
921;618
959;615
922;611
893;611
804;595
890;613
927;614
928;613
889;618
890;617
929;614
888;609
880;604
841;607
886;604
890;607
846;600
885;607
935;603
905;596
825;594
932;608
929;606
879;593
852;599
937;593
888;587
892;597
930;601
892;603
945;588
886;598
853;589
943;593
933;599
804;585
890;592
902;600
805;592
891;597
889;586
884;590
884;580
887;594
851;600
940;609
897;599
885;599
892;599
895;602
887;603
894;596
886;599
937;601
895;600
892;598
888;603
887;603
898;598
893;591
890;580
883;573
889;567
893;556
886;554
884;582
779;635
957;709
944;855
942;954
897;1068
766;1035
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
716;594
712;585
;
;
;
;
;
;
;
;
810;612
804;617
806;620
797;617
802;617
834;623
804;618
753;621
811;615
811;613
860;633
806;608
811;601
804;591
813;599
815;604
820;596
809;597
804;591
806;601
844;583
804;593
801;596
798;593
800;587
797;593
800;585
807;594
